t,x,y,phi
33.15,23.52214737047541,2.003287717832553,-5.01025795392626
33.155,23.5243935588914,2.010603641055952,-5.010280337648026
33.16,23.52663932004531,2.01791759352724,-5.010302554617676
33.165,23.52888465270107,2.025229575837983,-5.010324606077465
33.17,23.53112955563261,2.032539588576748,-5.010346493260393
33.175,23.53337402762379,2.03984763232912,-5.010368217390273
33.18,23.53561806746832,2.047153707677725,-5.010389779681802
33.185,23.53786167396966,2.054457815202256,-5.010411181340628
33.19,23.54010484594098,2.061759955479488,-5.010432423563418
33.195,23.54234758220506,2.069060129083305,-5.010453507537923
33.2,23.54458988159423,2.076358336584718,-5.010474434443045
33.205,23.54683174295029,2.083654578551889,-5.010495205448906
33.21,23.54907316512444,2.090948855550147,-5.010515821716909
33.215,23.55131414697719,2.098241168142017,-5.010536284399805
33.22,23.55355468737833,2.105531516887231,-5.010556594641758
33.225,23.55579478520681,2.112819902342758,-5.010576753578408
33.23,23.55803443935069,2.120106325062818,-5.010596762336935
33.235,23.56027364870708,2.127390785598903,-5.01061662203612
33.24,23.56251241218206,2.134673284499802,-5.010636333786413
33.245,23.56475072869061,2.141953822311615,-5.010655898689989
33.25,23.56698859715654,2.149232399577775,-5.010675317840812
33.255,23.56922601651242,2.156509016839071,-5.010694592324699
33.26,23.57146298569953,2.163783674633661,-5.010713723219373
33.265,23.57369950366777,2.171056373497097,-5.010732711594533
33.27,23.5759355693756,2.178327113962343,-5.010751558511908
33.275,23.57817118178998,2.185595896559792,-5.010770265025315
33.28,23.5804063398863,2.192862721817288,-5.010788832180722
33.285,23.58264104264832,2.200127590260141,-5.010807261016307
33.29,23.5848752890681,2.207390502411152,-5.01082555256251
33.295,23.58710907814594,2.214651458790625,-5.010843707842096
33.3,23.58934240889029,2.221910459916389,-5.010861727870213
33.305,23.59157528031775,2.229167506303816,-5.010879613654443
33.31,23.59380769145293,2.236422598465837,-5.010897366194864
33.315,23.59603964132846,2.243675736912965,-5.010914986484102
33.32,23.59827112898487,2.250926922153307,-5.01093247550739
33.325,23.60050215347055,2.258176154692587,-5.010949834242621
33.33,23.60273271384171,2.265423435034159,-5.010967063660401
33.335,23.60496280916229,2.272668763679029,-5.010984164724109
33.34,23.60719243850392,2.27991214112587,-5.011001138389943
33.345,23.60942160094584,2.287153567871037,-5.011017985606982
33.35,23.61165029557487,2.29439304440859,-5.011034707317229
33.355,23.61387852148532,2.301630571230308,-5.011051304455675
33.36,23.61610627777896,2.308866148825703,-5.011067777950341
33.365,23.61833356356494,2.316099777682042,-5.011084128722339
33.37,23.62056037795975,2.323331458284361,-5.011100357685915
33.375,23.62278672008716,2.33056119111548,-5.011116465748506
33.38,23.62501258907814,2.337788976656023,-5.011132453810789
33.385,23.62723798407084,2.345014815384434,-5.01114832276673
33.39,23.62946290421052,2.352238707776988,-5.011164073503637
33.395,23.6316873486495,2.359460654307814,-5.011179706902206
33.4,23.63391131654708,2.366680655448908,-5.011195223836575
33.405,23.63613480706952,2.373898711670146,-5.011210625174366
33.41,23.63835781938997,2.381114823439306,-5.011225911776739
33.415,23.64058035268841,2.388328991222077,-5.01124108449844
33.42,23.64280240615161,2.395541215482079,-5.011256144187847
33.425,23.64502397897309,2.402751496680878,-5.011271091687016
33.43,23.64724507035303,2.409959835277999,-5.011285927831731
33.435,23.64946567949825,2.417166231730941,-5.011300653451551
33.44,23.65168580562215,2.424370686495198,-5.011315269369852
33.445,23.65390544794464,2.431573200024264,-5.01132977640388
33.45,23.65612460569214,2.438773772769658,-5.011344175364789
33.455,23.65834327809747,2.445972405180932,-5.011358467057693
33.46,23.66056146439984,2.453169097705686,-5.011372652281706
33.465,23.66277916384478,2.460363850789588,-5.01138673182999
33.47,23.66499637568412,2.467556664876381,-5.011400706489799
33.475,23.6672130991759,2.474747540407903,-5.01141457704252
33.48,23.66942933358435,2.481936477824098,-5.01142834426372
33.485,23.67164507817983,2.489123477563033,-5.011442008923189
33.49,23.67386033223881,2.496308540060908,-5.011455571784982
33.495,23.67607509504377,2.503491665752072,-5.01146903360746
33.5,23.67828936588322,2.51067285506904,-5.011482395143338
33.505,23.68050314405157,2.517852108442499,-5.01149565713972
33.51,23.68271642884919,2.52502942630133,-5.011508820338146
33.515,23.68492921958225,2.532204809072615,-5.011521885474632
33.52,23.68714151556278,2.539378257181655,-5.011534853279711
33.525,23.68935331610853,2.54654977105198,-5.011547724478472
33.53,23.69156462054303,2.553719351105364,-5.011560499790605
33.535,23.69377542819543,2.560886997761836,-5.011573179930435
33.54,23.69598573840054,2.568052711439697,-5.01158576560697
33.545,23.69819555049878,2.57521649255553,-5.011598257523932
33.55,23.70040486383608,2.582378341524211,-5.011610656379803
33.555,23.7026136777639,2.589538258758926,-5.01162296286786
33.56,23.70482199163914,2.596696244671183,-5.011635177676216
33.565,23.70702980482415,2.603852299670818,-5.011647301487858
33.57,23.70923711668663,2.611006424166018,-5.011659334980684
33.575,23.71144392659964,2.618158618563326,-5.011671278827543
33.58,23.71365023394151,2.625308883267653,-5.011683133696271
33.585,23.71585603809585,2.632457218682295,-5.011694900249729
33.59,23.71806133845147,2.639603625208941,-5.01170657914584
33.595,23.72026613440234,2.646748103247687,-5.011718171037624
33.6,23.7224704253476,2.653890653197046,-5.011729676573238
33.605,23.72467421069145,2.661031275453964,-5.011741096396011
33.61,23.72687748984317,2.668169970413824,-5.011752431144477
33.615,23.72908026221703,2.675306738470466,-5.011763681452416
33.62,23.7312825272323,2.682441580016194,-5.011774847948883
33.625,23.73348428431317,2.689574495441789,-5.01178593125825
33.63,23.73568553288874,2.696705485136517,-5.011796932000236
33.635,23.73788627239299,2.703834549488146,-5.011807850789944
33.64,23.74008650226469,2.710961688882952,-5.011818688237893
33.645,23.74228622194742,2.718086903705735,-5.011829444950057
33.65,23.7444854308895,2.725210194339825,-5.011840121527892
33.655,23.74668412854398,2.732331561167095,-5.011850718568376
33.66,23.74888231436857,2.739451004567975,-5.011861236664039
33.665,23.75107998782563,2.746568524921456,-5.011871676402996
33.67,23.75327714838213,2.753684122605108,-5.011882038368982
33.675,23.7554737955096,2.760797797995086,-5.011892323141382
33.68,23.75766992868411,2.767909551466142,-5.011902531295266
33.685,23.75986554738623,2.775019383391636,-5.011912663401418
33.69,23.762060651101,2.782127294143544,-5.011922720026372
33.695,23.76425523931788,2.789233284092471,-5.011932701732441
33.7,23.76644931153074,2.796337353607661,-5.011942609077749
33.705,23.76864286723779,2.803439503057006,-5.01195244261626
33.71,23.7708359059416,2.810539732807056,-5.011962202897815
33.715,23.77302842714901,2.81763804322303,-5.011971890468154
33.72,23.77522043037114,2.824734434668825,-5.011981505868956
33.725,23.77741191512331,2.831828907507028,-5.011991049637863
33.73,23.77960288092508,2.838921462098922,-5.01200052230851
33.735,23.78179332730015,2.8460120988045,-5.012009924410559
33.74,23.78398325377634,2.853100817982471,-5.012019256469725
33.745,23.78617265988559,2.86018761999027,-5.012028519007806
33.75,23.78836154516391,2.867272505184073,-5.012037712542716
33.755,23.79054990915132,2.874355473918797,-5.012046837588505
33.76,23.79273775139189,2.881436526548117,-5.012055894655399
33.765,23.79492507143364,2.888515663424473,-5.01206488424982
33.77,23.79711186882851,2.895592884899078,-5.012073806874418
33.775,23.7992981431324,2.902668191321928,-5.012082663028099
33.78,23.80148389390507,2.909741583041812,-5.01209145320605
33.785,23.80366912071013,2.916813060406319,-5.012100177899772
33.79,23.80585382311503,2.92388262376185,-5.012108837597103
33.795,23.808038000691,2.930950273453623,-5.012117432782247
33.8,23.81022165301303,2.938016009825684,-5.012125963935801
33.805,23.81240477965987,2.945079833220918,-5.01213443153478
33.81,23.81458738021396,2.952141743981052,-5.012142836052648
33.815,23.81676945426142,2.959201742446669,-5.012151177959341
33.82,23.81895100139202,2.966259828957214,-5.012159457721292
33.825,23.82113202119915,2.973316003851003,-5.012167675801463
33.83,23.82331251327981,2.980370267465231,-5.012175832659365
33.835,23.82549247723454,2.987422620135981,-5.012183928751084
33.84,23.82767191266744,2.994473062198231,-5.012191964529312
33.845,23.82985081918612,3.001521593985866,-5.012199940443366
33.85,23.83202919640166,3.00856821583168,-5.012207856939216
33.855,23.8342070439286,3.01561292806739,-5.01221571445951
33.86,23.83638436138493,3.022655731023642,-5.012223513443598
33.865,23.83856114839202,3.029696625030016,-5.01223125432756
33.87,23.84073740457463,3.036735610415039,-5.012238937544222
33.875,23.84291312956087,3.043772687506189,-5.012246563523189
33.88,23.84508832298218,3.050807856629906,-5.012254132690866
33.885,23.84726298447329,3.057841118111595,-5.012261645470479
33.89,23.84943711367222,3.064872472275641,-5.012269102282104
